name,year,url,journal,abstract
[Rheopyrin as a factor influencing water metabolism in normal subjects and in diabetes insipidus],1962,https://pubmed.ncbi.nlm.nih.gov/13913442/,Magy Belorv Arch (1955),No abstract available
[Xanthomatous diabetes insipidus],1959,https://pubmed.ncbi.nlm.nih.gov/14435614/,Minerva Dermatol,No abstract available
[Preliminary data on certain effects of aldosterone administration in true diabetes insipidus],1965,https://pubmed.ncbi.nlm.nih.gov/5899015/,Folia Endocrinol,No abstract available
[Antidiuretic effect of quinethazone in diabetes insipidus],1970,https://pubmed.ncbi.nlm.nih.gov/5470189/,Endocrinol Sci Cost,No abstract available
[Value of clofibrate in the treatment of diabetes insipidus],Jan-Jun,https://pubmed.ncbi.nlm.nih.gov/4679285/,Arch Maragliano Patol Clin,No abstract available
[Use of maninil in diabetes insipidus],Jul-Aug,https://pubmed.ncbi.nlm.nih.gov/6812041/,Probl Endokrinol (Mosk),No abstract available
Transient diabetes insipidus of pregnancy and its relationship to preeclamptic toxemia,2007,https://pubmed.ncbi.nlm.nih.gov/18085045/,Isr Med Assoc J,No abstract available
Diabetes insipidus and obesity in an Itesot leper child,1946,https://pubmed.ncbi.nlm.nih.gov/21019051/,East Afr Med J,No abstract available
The use of hypertonic saline infusions in the differential diagnosis of diabetes insipidus and psychogenic polydipsia,1947,https://pubmed.ncbi.nlm.nih.gov/20253415/,J Clin Endocrinol Metab,No abstract available
"Subcellular distribution of neurophysin in rats subjected to haemorrhage, salt-loading and lactation and in rats with hereditary diabetes insipidus (Brattleboro strain)",1973,https://pubmed.ncbi.nlm.nih.gov/4737724/,Z Zellforsch Mikrosk Anat,No abstract available
[Diabetes insipidus],1958,https://pubmed.ncbi.nlm.nih.gov/13515939/,Medicina (Madr),No abstract available
Diabetes insipidus,1947,https://pubmed.ncbi.nlm.nih.gov/20344524/,Proc R Soc Med,No abstract available
SYMPOSIUM on diabetes insipidus,1957,https://pubmed.ncbi.nlm.nih.gov/13408348/,Proc Staff Meet Mayo Clin,No abstract available
[Diabetes insipidus],1961,https://pubmed.ncbi.nlm.nih.gov/13759544/,Belg Tijdschr Geneesk,No abstract available
[Differential diagnosis of diabetes insipidus],1951,https://pubmed.ncbi.nlm.nih.gov/14852538/,Med Welt,No abstract available
Central diabetes insipidus in a dog,1979,https://pubmed.ncbi.nlm.nih.gov/492132/,Mod Vet Pract,No abstract available
Diabetes insipidus,2013,https://pubmed.ncbi.nlm.nih.gov/23837197/,J Clin Endocrinol Metab,No abstract available
[Congenital nephrogenic diabetes insipidus: about a case report],Mar-Apr,https://pubmed.ncbi.nlm.nih.gov/23587596/,Ann Biol Clin (Paris),"Congenital nephrogenic diabetes insipidus is a rare, hereditary in nature, characterized by an inability of the kidney to concentrate urine, secondary to the manifold resistance to the action of vasopressin. X-linked forms of transmission (90%) are expressed in boys, from the neonatal period in general, by polyuria and polydipsia. Symptomatology in transmissive girls is variable but can sometimes be quite marked. These forms are secondary to mutations in the gene encoding the vasopressin V2 receptor, located at position Xq28, responsible for a loss of function of this receptor. Some of these mutations may cause a partial phenotype, less severe. Forms of autosomal, recessive or dominant are more rare (10%). Treatment is symptomatic, sometimes difficult in infants. It aims to avoid episodes of dehydration. It is based on a conventional diet hypo-osmotic and administration of hydrochlorothiazide and indomethacin. We report here the case of a child with congenital nephrogenic diabetes insipidus hospitalized at Children's Hospital of Rabat and throughout this case we review the pathophysiology and clinical and biological characteristics of the disease and including importance of contribution of clinical biochemistry laboratory in the diagnosis and monitoring of this disease."
[Treatment of diabetes insipidus],Jan-Mar,https://pubmed.ncbi.nlm.nih.gov/2274021/,Minerva Endocrinol,"Although water alone taken in sufficient amount should correct any metabolic abnormality, a proper therapy is available to reduce the symptoms of the diabetes insipidus. In patients with reduced circulating levels of vasopressin, chlorpropamide, clofibrate, idroclorotiazide etc., enhance the effect of vasopressin on the renal tubule or induce a release of vasopressin, thus reducing the diuresis. On the contrary patients with complete diabetes insipidus require replacement therapy. Different forms of extractive vasopressin unfortunately are available: ""aqueous vasopressin"", ""tannate vasopressin"" in a suspension of peanut oil etc., are provided of many side-effects because of the impurities in their preparation. DDAVP is a synthetic analogous of natural vasopressin more specific for antidiuresis and with a long-activity. This compound available in a buffered aqueous solution is administrated by blowing into the nose. In our experience, 23 patients with different forms of central diabetes insipidus have successfully treated with 2-3 daily administrations of this drug without any side effect. The recent demonstration that DDAVP given orally exerts an antidiuretic activity in patients with diabetes insipidus is of therapeutic interest. It is conceivable that DDAVP in a properly formulated tablet will become a therapeutic option for the future treatment of patients with central diabetes insipidus."
[Familial diabetes insipidus neurohormonalis. Description of a group of siblings with special reference to diabetes insipidus occultus and weakly expressed clinical manifestations (formes frustes)],1960,https://pubmed.ncbi.nlm.nih.gov/13834358/,Z Kinderheilkd,No abstract available
[On diabetes insipidus in children],1962,https://pubmed.ncbi.nlm.nih.gov/13896578/,Chiryo,No abstract available
"When the patient has the ""other"" diabetes",1985,https://pubmed.ncbi.nlm.nih.gov/3846355/,RN,No abstract available
Influence of arginine vasotocin on a genetically determined excessive appetite for water in chickens,1976,https://pubmed.ncbi.nlm.nih.gov/995808/,Poult Sci,"Females from two inbred strains of chickens, one normal and one having hereditary diabetes insipidus, were treated with five levels (2.5, 1.0, 0.5, 0.25, and 0.1 units) of Schwartz-Mann (Grade A, 100 units/mg.) arginine vasotocin via ic. injections at 2-hr. intervals. Paired sibs, one normal and one having diabetes insipidus (di), from an F2 population were used in one experiment to compare responses at the level of 2.5 units. Only di females were used for the remaining four levels of treatment. Water intake was determined every two hours and calculated as a percentage of water (ml.)/body wt. Results show that hereditary diabetes insipidus in chickens is arginine vasotocin-sensitive at the 0.5 unit and higher levels. The genetic defect appears to affect the quantity of antidiuretic hormone produced."
[Liver cirrhosis and diabetes insipidus],1957,https://pubmed.ncbi.nlm.nih.gov/13453245/,Prensa Med Argent,No abstract available
Failure to detect the carrier in congenital nephrogenic diabetes insipidus,1972,https://pubmed.ncbi.nlm.nih.gov/5018633/,Arch Dis Child,No abstract available
[Diabetes insipidus and posterior pituitary histophysiology],1951,https://pubmed.ncbi.nlm.nih.gov/14916943/,Folha Med,No abstract available
DIABETES insipidus,1950,https://pubmed.ncbi.nlm.nih.gov/14771440/,Am Pract Dig Treat,No abstract available
[A tumor of the third ventricle of the histological type of pinealoma; presentation as diabetes insipidus and termination with tegmental syndrome],1956,https://pubmed.ncbi.nlm.nih.gov/13390239/,Rev Neurol (Paris),No abstract available
[Hypothalamo-pituitary relationships in the development of diabetes insipidus],1949,https://pubmed.ncbi.nlm.nih.gov/18115235/,Bull Schweiz Akad Med Wiss,No abstract available
[The etiology of hypothalamic diabetes insipidus in children],1987,https://pubmed.ncbi.nlm.nih.gov/3672246/,Srp Arh Celok Lek,No abstract available
[The etiology of hypothalamic diabetes insipidus in children],1987,https://pubmed.ncbi.nlm.nih.gov/3672246/,Srp Arh Celok Lek,No abstract available
[The pathogenesis of diabetes insipidus in pregnancy (description of a case)],Jul-Aug,https://pubmed.ncbi.nlm.nih.gov/7344669/,Arch Ostet Ginecol,No abstract available
Congenital nephrogenic diabetes insipidus,1953,https://pubmed.ncbi.nlm.nih.gov/13070956/,Med J Aust,No abstract available
[Case of Turner's syndrome associated with idiopathic diabetes insipidus],1971,https://pubmed.ncbi.nlm.nih.gov/5101260/,Saishin Igaku,No abstract available
DIABETES insipidus,May-Jun,https://pubmed.ncbi.nlm.nih.gov/13437290/,Cancer Bull,No abstract available
[Pathophysiology of diabetes insipidus],1951,https://pubmed.ncbi.nlm.nih.gov/12995793/,Z Kinderheilkd,No abstract available
Nursing management of diabetes insipidus,1981,https://pubmed.ncbi.nlm.nih.gov/6926668/,J Neurosurg Nurs,Diabetes insipidus is seen most frequently in neurosurgical patients. The transient form is more common and usually subsides prior to discharge. Permanent DI is seen in patients with extensive damage in the hypothalamic area. Treatment of either form of DI is usually with a preparation of vasopressin. Nursing assessements and interventions are crucial to a successful outcome in patients with this disorder. Health teaching for patients with permanent DI is an integral part of the nursing responsibility.
Xanthomatosis with diabetes insipidus in adults: a report of two cases,1954,https://pubmed.ncbi.nlm.nih.gov/13212569/,J Pathol Bacteriol,No abstract available
Diabetes insipidus in pregnancy,1985,https://pubmed.ncbi.nlm.nih.gov/4044237/,Isr J Med Sci,No abstract available
Selective cognitive and psychiatric manifestations in Wolfram Syndrome,2015,https://pubmed.ncbi.nlm.nih.gov/26025012/,Orphanet J Rare Dis,"Background: Wolfram Syndrome (WFS) is known to involve diabetes mellitus, diabetes insipidus, optic nerve atrophy, vision loss, hearing impairment, motor abnormalities, and neurodegeneration, but has been less clearly linked to cognitive, sleep, and psychiatric abnormalities. We sought to determine whether these abnormalities are present in children, adolescents, and young adults with WFS compared to age- and gender-matched individuals with and without type 1 diabetes using standardized measures.
Methods: Individuals with genetically-confirmed WFS (n = 19, ages 7-27) were compared to age- and gender- equivalent groups of individuals with type 1 diabetes (T1DM; n = 25), and non-diabetic healthy controls (HC: n = 25). Cognitive performance across multiple domains (verbal intelligence, spatial reasoning, memory, attention, smell identification) was assessed using standardized tests. Standardized self- and parent-report questionnaires on psychiatric symptoms and sleep disturbances were acquired from all groups and an unstructured psychiatric interview was performed within only the WFS group.
Results: The three groups were similar demographically (age, gender, ethnicity, parental IQ). WFS and T1DM had similar duration of diabetes but T1DM had higher HbA1C levels than WFS and as expected both groups had higher levels than HC. The WFS group was impaired on smell identification and reported sleep quality, but was not impaired in any other cognitive or self-reported psychiatric domain. In fact, the WFS group performed better than the other two groups on selected memory and attention tasks. However, based upon a clinical evaluation of only WFS patients, we found that psychiatric and behavioral problems were present and consisted primarily of anxiety and hypersomnolence.
Conclusions: This study found that cognitive performance and psychological health were relatively preserved WFS patients, while smell and sleep abnormalities manifested in many of the WFS patients. These findings contradict past case and retrospective reports indicating significant cognitive and psychiatric impairment in WFS. While many of these patients were diagnosed with anxiety and hypersomnolence, self-reported measures of psychiatric symptoms indicated that the symptoms were not of grave concern to the patients. It may be that cognitive and psychiatric issues become more prominent later in life and/or in later stages of the disease, but this requires standardized assessment and larger samples to determine. In the relatively early stages of WFS, smell and sleep-related symptoms may be useful biomarkers of disease and should be monitored longitudinally to determine if they are good markers of progression as well.
Trial registration: Current Clinicaltrials.gov Trial NCT02455414 ."
Diabetes insipidus and adiposogenital syndrome in a dog due to an infundibuloma,1951,https://pubmed.ncbi.nlm.nih.gov/14887341/,Cornell Vet,No abstract available
[Psychosomatic aspects of diabetes insipidus; case report],1953,https://pubmed.ncbi.nlm.nih.gov/13137374/,Z Psychother Med Psychol,No abstract available
Diabetes insipidus: an unusual cause of urinary frequency during pregnancy,Nov-Dec,https://pubmed.ncbi.nlm.nih.gov/10612368/,J Am Board Fam Pract,No abstract available
Systemic sclerosis associated with diabetes insipidus,1997,https://pubmed.ncbi.nlm.nih.gov/9058107/,Intern Med,"A rare case of systemic sclerosis that preceded the development of diabetes insipidus is reported. This 25-year-old man presented with Raynaud's phenomenon and ulceration of the tip of the right thumb. The diagnosis of systemic sclerosis was based on findings of proximal scleroderma, sclerodactyly, serological abnormalities, and skin abnormalities verified histologically. Partial central diabetes insipidus was later diagnosed after the sudden appearance of polyuria and polydipsia. Coexistence of systemic sclerosis with diabetes insipidus suggests that diabetes insipidus in this patient might have occurred via an autoimmune mechanism."
Congenital central diabetes insipidus in two sibling Afghan hound pups,1989,https://pubmed.ncbi.nlm.nih.gov/2708115/,J Am Vet Med Assoc,"Congenital central diabetes insipidus was determined to be the cause of polydipsia and polyuria in sibling pups. Both pups were lacking adequate plasma arginine vasopressin concentration, compared with that in control dogs. Microscopic abnormalities were confined to the brain and pituitary gland in one pup. Without breeding trials of these dogs or their relatives, it cannot be determined whether the cause was familial."
Myths and facts about diabetes insipidus,1990,https://pubmed.ncbi.nlm.nih.gov/2362694/,Nursing,No abstract available
[Cinchophen therapy of diabetes insipidus and acute arthritis],1952,https://pubmed.ncbi.nlm.nih.gov/14910930/,Nord Med,No abstract available
[Clinical studies of diabetes insipidus],1966,https://pubmed.ncbi.nlm.nih.gov/4291584/,Nihon Naibunpi Gakkai Zasshi,No abstract available
[Primary oliguria],1953,https://pubmed.ncbi.nlm.nih.gov/13078882/,Z Gesamte Inn Med,No abstract available
[The effects of some diuretic drugs on diabetes insipidus],1962,https://pubmed.ncbi.nlm.nih.gov/14008752/,Jpn J Med Sci Biol,No abstract available
"[Eosinophilic granuloma of the petrous bone, preliminary manifestations of reticulopathy with diabetes insipidus and squamous and purpuric eruption]",Apr-May,https://pubmed.ncbi.nlm.nih.gov/13327622/,Ann Otolaryngol,No abstract available
Nephrogenic diabetes insipidus associated with massive hydronephrosis and bladder neck obstruction,1974,https://pubmed.ncbi.nlm.nih.gov/4810771/,J Urol,No abstract available
[Cutaneo-mucous disseminated xanthomatosis with diabetes insipidus],Jul-Aug,https://pubmed.ncbi.nlm.nih.gov/5963652/,Bull Soc Fr Dermatol Syphiligr,No abstract available
[Diagnosis and management of diabetes insipidus],1977,https://pubmed.ncbi.nlm.nih.gov/923116/,Horumon To Rinsho,No abstract available
Diabetes insipidus,1968,https://pubmed.ncbi.nlm.nih.gov/5760808/,Manit Med Rev,No abstract available
[Diabetes insipidus and pregnancy],1968,https://pubmed.ncbi.nlm.nih.gov/5740570/,Riv Ital Ginecol,No abstract available
The carrier state in nephrogenic diabetes insipidus,1956,https://pubmed.ncbi.nlm.nih.gov/13377673/,Lancet,No abstract available
[History of research on diabetes insipidus],2002,https://pubmed.ncbi.nlm.nih.gov/12056013/,Nihon Naika Gakkai Zasshi,No abstract available
Diabetes insipidus: clinical and basic aspects,2006,https://pubmed.ncbi.nlm.nih.gov/17261971/,Pediatr Endocrinol Rev,"Water homeostasis in the body is finely balanced by the release of the antidiuretic hormone vasopressin and the stimulation of thirst. Vasopressin acts in the kidneys to concentrate urine and reduce plasma osmolality. Diabetes insipidus is a disorder of water balance characterized by a failure to concentrate urine. There are two types of diabetes insipidus: central and nephrogenic. Central diabetes insipidus is caused by insufficient production of vasopressin, while nephrogenic diabetes insipidus is caused by an impaired response of the kidneys to vasopressin. Patients with central diabetes insipidus respond to treatment with vasopressin or its synthetic analogue, desmopressin; however, caution should be utilized in treating infants with vasopressin or analogues-infants can be treated successfully with fluids alone. Treatment of nephrogenic diabetes insipidus involves removing the underlying cause, if possible, reducing solute load or therapy with a diuretic agent."
[Diabetes insipidus. Physiopathological and therapeutic classification in the light of recent advances],1974,https://pubmed.ncbi.nlm.nih.gov/4418123/,Clin Ter,No abstract available
Congenital nephrogenic diabetes insipidus,1979,https://pubmed.ncbi.nlm.nih.gov/507907/,Arch Dis Child,No abstract available
[Diabetes insipidus and postpartum anterior hypophyseal insufficiency],1993,https://pubmed.ncbi.nlm.nih.gov/8228021/,J Gynecol Obstet Biol Reprod (Paris),"There have only been thirty cases of total post-partum hypopituitarism published in the literature and these have nearly all been secondary to Sheehan's syndrome. The authors report a case of partial anterior hypopituitarism associated with diabetes insipidus which arose after an uneventful Caesarean operation and the origin of which seems to lie in auto-immune hypophysitis. The authors first describe the morphological and endocrine changes that the hypophysis undergoes during pregnancy and then point out that auto-immune hypophysitis seems to have been only recently recognised. This can be used to explain some cases of post-partum hypophyseal insufficiency occurring almost silently without any history of third haemorrhage. Research has been made systematically for anti-hypophyseal antibodies and for specific antibodies of the organ, but has not always been positive. So the diagnosis of auto-immune hypophysitis is often made only after eliminating other reasons for it. A brief review of the physiopathological mechanisms of diabetes insipidus makes it possible to suggest that vasopressinase coming from the placenta together with prostaglandins could play a role."
Diabetes insipidus as a complication of pneumococcal meningitis,1973,https://pubmed.ncbi.nlm.nih.gov/4708840/,J Am Geriatr Soc,No abstract available
[Diabetes insipidus secondary to non-Hodgkin lymphoma],1989,https://pubmed.ncbi.nlm.nih.gov/2523058/,Presse Med,No abstract available
Responses of neurohypophysial peptides to hypertonic saline and insulin-induced hypoglycaemia in man,1986,https://pubmed.ncbi.nlm.nih.gov/3519006/,Clin Endocrinol (Oxf),"In order to investigate the possible role of oxytocin in osmoregulation and its response to stress, plasma immunoreactive oxytocin was measured during hypertonic saline infusion and insulin-induced hypoglycaemia in a group of normal subjects, four patients with idiopathic diabetes insipidus and one patient with DIDMOAD syndrome (the syndrome of diabetes insipidus, diabetes mellitus, optic atrophy and deafness). The results were compared with those of plasma immunoreactive vasopressin to the same stimuli. As expected, there was a rise in plasma vasopressin in the normal subjects to both tests: this was absent in the patients with diabetes insipidus. Plasma oxytocin did not rise during hypertonic saline infusion in either group of subjects. The response of oxytocin to insulin-induced hypoglycaemia (0.15 U/kg soluble insulin) in normal subjects was much more variable. One highly symptomatic volunteer showed a marked rise in oxytocin. Two subjects also showed a rise when retested with 0.19 U/kg soluble insulin. There was no response of oxytocin to a standard-dose insulin test in the patients with diabetes insipidus. The data suggest that, in man, oxytocin is not involved in osmoregulation but that it may be secreted in response to marked hypoglycaemia."
Experimental diabetes insipidus: a study of the normal interphase,1957,https://pubmed.ncbi.nlm.nih.gov/13408350/,Proc Staff Meet Mayo Clin,No abstract available
[Case of diabetes insipidus following influenza encephalitis],1954,https://pubmed.ncbi.nlm.nih.gov/13205471/,Suvr Med (Sofiia),No abstract available
[Considerations of the efficacy of synthetic diuretics in diabetes insipidus],1966,https://pubmed.ncbi.nlm.nih.gov/5903544/,Minerva Med,No abstract available
[Chlorpropamide treatment of idiopathic diabetes insipidus],1970,https://pubmed.ncbi.nlm.nih.gov/5511500/,Union Med Can,No abstract available
Diabetes insipidus,1996,https://pubmed.ncbi.nlm.nih.gov/8712237/,Am J Nurs,No abstract available
[Water-losing nephritis; acquired renal disease simulating diabetes insipidus],1956,https://pubmed.ncbi.nlm.nih.gov/13348946/,Nord Med,No abstract available
Diabetes insipidus and heart failure,1955,https://pubmed.ncbi.nlm.nih.gov/13256515/,Tip Fak Mecm,No abstract available
Diabetes insipidus in pregnancy: a case review,1978,https://pubmed.ncbi.nlm.nih.gov/623176/,Am J Obstet Gynecol,No abstract available
[Small clinics; tasteless diabetes],1949,https://pubmed.ncbi.nlm.nih.gov/18127936/,Rev Med Liege,No abstract available
[Pathologic anatomy of diabetes insipidus],Apr-May,https://pubmed.ncbi.nlm.nih.gov/14947835/,Monatsschr Psychiatr Neurol,No abstract available
[Renal function in hypophysial endocrine diseases; study of renal clearances in a case of acromegaly and in a case of diabetes insipidus],1957,https://pubmed.ncbi.nlm.nih.gov/13431456/,Policlinico Prat,No abstract available
Diabetes insipidus following closed intracranial trauma,1959,https://pubmed.ncbi.nlm.nih.gov/13631276/,J Indiana State Med Assoc,No abstract available
[Urological significance of urinary tract changes in diabetes insipidus],1973,https://pubmed.ncbi.nlm.nih.gov/4802030/,Z Urol Nephrol,No abstract available
MR imaging of the brain in patients with diabetes insipidus,May-Jun,https://pubmed.ncbi.nlm.nih.gov/2058510/,AJNR Am J Neuroradiol,"Diabetes insipidus is a clinical syndrome characterized by the excretion of copious volumes of dilute urine combined with persistent intake of abnormally large quantities of fluid. There are two general forms of the disease, central (vasopressin deficient) and nephrogenic (vasopressin resistant). Diabetes insipidus of central origin most often results from lesions in the hypothalamic-neurohypophyseal axis. Twenty-six cases of central diabetes insipidus were evaluated with the use of high-field-strength MR imaging. A wide variety of precipitating conditions were found, including Langerhans cell histiocytosis, neoplasia, trauma, and infection. A thickened pituitary infundibulum was seen in most patients, and an absence of high intensity signal in the posterior pituitary lobe on T1-weighted images was seen in every case. Analysis of stalk morphology; associated brain findings; and correlation with the patient's age, sex, history, and radiographs of other body parts improved diagnostic specificity. When combined with clinical information, MR imaging is able to provide a specific diagnosis in almost all cases of central diabetes insipidus."
"[Infundibulitis, an unusual case of central diabetes insipidus]",2002,https://pubmed.ncbi.nlm.nih.gov/12522940/,Rev Med Suisse Romande,"We report the case of a 53 year old patient who was admitted with polyuria, polydipsia associated with fatigue, depression and sexual dysfunction. Central diabetes insipidus with hypogonadotrophic hypogonadism was diagnosed by a water restriction test and different static and dynamic hormonal dosages. Nodular thickening of the pituitary stalk was noted on the MRI and the biopsy permitted a histological diagnosis of infundibulitis."
[CONTRIBUTION TO THE HEREDITARY FORM OF DIABETES INSIPIDUS],1964,https://pubmed.ncbi.nlm.nih.gov/14233590/,Z Gesamte Inn Med,No abstract available
The use of hypertonic saline infusions in the differential diagnosis of diabetes insipidus and psychogenic polydipsia,1947,https://pubmed.ncbi.nlm.nih.gov/20272266/,J Clin Endocrinol Metab,No abstract available
An Atypical Case of Late-Onset Wolfram Syndrome 1 without Diabetes Insipidus,2022,https://pubmed.ncbi.nlm.nih.gov/35206658/,Int J Environ Res Public Health,"Wolfram syndrome 1, a rare autosomal recessive neurodegenerative disease, is caused by mutations in the WFS1 gene. It is characterized by diabetes insipidus, diabetes mellitus, optic atrophy, and deafness (DIDMOAD), and other clinical manifestations such as urological and neurological disorders. Here we described the case of a patient with an atypical late-onset Wolfram syndrome 1 without DI. Our WS1 patient was a c.1620_1622delGTG (p.Trp540del)/c.124 C > T (p.Arg42*) heterozygous compound. The p.Arg42* nonsense mutation was also found in heterozygosity in his sister and niece, both suffering from psychiatric disorders. The p.Arg42* nonsense mutation has never been found in WS1 and its pathogenicity is unclear so far. Our study underlined the need to study a greater number of WS1 cases in order to better understand the clinical significance of many WFS1 variants."
[Physiopathologic study of diabetes insipidus; report of a case],Jan-Feb,https://pubmed.ncbi.nlm.nih.gov/14819716/,Ann Biol Clin (Paris),No abstract available
[Treatment of diabetes insipidus following influenza],Jul-Aug,https://pubmed.ncbi.nlm.nih.gov/13601629/,Probl Endokrinol Gormonoter,No abstract available
[Problem of pitressin inactivation of tissue in patients with diabetes insipidus],1958,https://pubmed.ncbi.nlm.nih.gov/13547888/,Dtsch Arch Klin Med,No abstract available
The intranasal use of posterior pituitary powder in the treatment of diabetes insipidus,1947,https://pubmed.ncbi.nlm.nih.gov/18901294/,J Clin Endocrinol Metab,No abstract available
[Experimental and clinical studies on hypothalamus extracts],1951,https://pubmed.ncbi.nlm.nih.gov/14868412/,Acta Neuroveg (Wien),No abstract available
Concurrent central diabetes insipidus and cerebral salt wasting disease in a post-operative case of craniopharyngioma: a case report,2021,https://pubmed.ncbi.nlm.nih.gov/34758770/,BMC Pediatr,"Background: Water and electrolyte disorders commonly encountered in children post-surgery involving hypothalamus and posterior pituitary, are central diabetes insipidus, syndrome of inappropriate secretion of anti-diuretic hormone and cerebral salt wasting disease. Delayed diagnosis and inadequate management of such cases may lead to worsened neurological outcomes with a high mortality rate.
Case presentation: Here we report the case of a 7-year-old girl who underwent surgical resection of a craniopharyngioma, following which she initially developed central diabetes insipidus. However, later on in the course of her illness she developed symptomatic hyponatremia with natriuresis which was diagnosed to be due to cerebral salt wasting disease. This combination of central diabetes insipidus and cerebral salt wasting syndrome is a rare occurrence and poses a diagnostic challenge. Diagnosis and management can be even more difficult when these conditions precede or coexist with each other.
Conclusion: In such cases development of hyponatremia should always prompt consideration of unusual causes like cerebral salt wasting disease in addition to the classically described syndrome of inappropriate secretion of anti-diuretic hormone. Hence, a thorough knowledge of these disorders along with intensive monitoring of fluid and sodium status is critical for timely diagnosis and management of these patients."
"[Fever, cognition disorder and polyuria: diabetes insipidus caused by sarcoidosis]",1975,https://pubmed.ncbi.nlm.nih.gov/1240375/,Nihon Rinsho,No abstract available
Urographic changes in diabetes insipidus; report of a case,1952,https://pubmed.ncbi.nlm.nih.gov/12990415/,J Am Med Assoc,No abstract available
[Practical considerations on diabetes insipidus in children],1953,https://pubmed.ncbi.nlm.nih.gov/13122541/,Sven Lakartidn,No abstract available
[Diabetes insipidus in children],1959,https://pubmed.ncbi.nlm.nih.gov/13652222/,Cesk Pediatr,No abstract available
Treating nephrogenic diabetes insipidus: a case study,May-Jun,https://pubmed.ncbi.nlm.nih.gov/12042694/,Dimens Crit Care Nurs,No abstract available
[Adiurecrine resistance in diabetes insipidus],May-Jun,https://pubmed.ncbi.nlm.nih.gov/5618650/,Probl Endokrinol (Mosk),No abstract available
Diabetes insipidus during pregnancy complicated by preeclampsia. A case report,1985,https://pubmed.ncbi.nlm.nih.gov/3999072/,J Reprod Med,"Up to 1984, 69 cases of diabetes insipidus associated with pregnancy had been reported on. In only four such cases did preeclampsia develop. We treated a patient for the fifth such case."
